MOLECULAR RL (2026 baseline)
================================================================================
lr                      : 0.0003
gamma                   : 0.99
gae_lambda              : 0.95
clip_epsilon            : 0.2
target_kl               : 0.02
entropy_coef_start      : 0.08
entropy_coef_end        : 0.01
value_coef              : 0.5
max_grad_norm           : 1.0
batch_size              : 256
ppo_epochs              : 10
buffer_size             : 2048
num_envs                : 8
updates                 : 800
hidden_dim              : 128
edge_dim                : 4
max_atoms               : 25
max_steps               : 40
min_atoms               : 5
curriculum_start        : 25
curriculum_end          : 300
log_every               : 5
save_every              : 50
eval_samples            : 256
project                 : molecular-rl-2026
run_name                : None
seed                    : 42
num_actions             : 122
input_feats             : 13
================================================================================
Update | R_mean   | R_std    | Valid%  | Unique%  | Div    | KL       | Clip   | ExpVar  | Ent    | Curr   | BestR   | BestSMILES
705    | 0.600    | 2.213    | 100.0   | 87.5     | 0.886  | 0.0317   | 0.063  | 0.401   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
710    | 0.561    | 2.195    | 100.0   | 62.5     | 0.767  | 0.0125   | 0.025  | 0.265   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
715    | 0.583    | 2.243    | 100.0   | 87.5     | 0.803  | 0.0098   | 0.005  | 0.915   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
720    | 0.533    | 2.169    | 100.0   | 100.0    | 0.920  | 0.0218   | 0.029  | 0.314   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
725    | 0.559    | 2.187    | 100.0   | 87.5     | 0.857  | 0.0704   | 0.037  | 0.837   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
730    | 0.574    | 2.232    | 100.0   | 62.5     | 0.646  | 0.0179   | 0.016  | 0.158   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
735    | 0.032    | 0.168    | 100.0   | 87.5     | 0.819  | 0.0248   | 0.071  | -0.060  | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
740    | 0.039    | 0.316    | 100.0   | 87.5     | 0.762  | 0.0206   | 0.114  | 0.354   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
745    | 0.021    | 0.260    | 100.0   | 100.0    | 0.811  | 0.0177   | 0.143  | 0.345   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
750    | 0.269    | 1.541    | 100.0   | 87.5     | 0.914  | 0.0326   | 0.115  | 0.235   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
755    | 0.561    | 2.101    | 100.0   | 75.0     | 0.801  | 0.0223   | 0.073  | -0.048  | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
760    | 0.480    | 2.031    | 100.0   | 100.0    | 0.871  | 0.0129   | 0.037  | 0.322   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
765    | 0.539    | 2.132    | 100.0   | 100.0    | 0.864  | 0.0248   | 0.043  | 0.691   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
770    | 0.568    | 2.214    | 100.0   | 75.0     | 0.767  | 0.0362   | 0.048  | 0.584   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
775    | 0.150    | 1.011    | 100.0   | 100.0    | 0.861  | 0.0210   | 0.092  | 0.343   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
780    | 0.557    | 2.199    | 100.0   | 87.5     | 0.804  | 0.0128   | 0.018  | 0.716   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
785    | -0.128   | 0.791    | 100.0   | 100.0    | 0.848  | 0.0241   | 0.083  | 0.186   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
790    | 0.018    | 0.418    | 100.0   | 100.0    | 0.698  | 0.0208   | 0.100  | 0.303   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
795    | 0.062    | 0.396    | 100.0   | 50.0     | 0.567  | 0.0127   | 0.060  | 0.103   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
